,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
122,Sao Joao Da Barra,-21.6403,-41.0511,78.89,78,29,15.46,BR,scattered clouds
123,Guaranda,-1.6,-79.0,59.61,96,87,7.65,EC,moderate rain
124,Bonthe,7.5264,-12.505,82.36,74,58,10.07,SL,broken clouds
125,Zhezkazgan,47.8043,67.7144,45.61,41,11,9.75,KZ,few clouds
126,Kruisfontein,-34.0033,24.7314,59.88,72,3,19.6,ZA,clear sky
127,Arman,59.7,150.1667,21.06,72,98,9.44,RU,overcast clouds
128,Lagoa,39.05,-27.9833,66.97,73,6,14.58,PT,clear sky
129,Urdoma,61.7533,48.5442,36.05,97,100,4.9,RU,light rain
130,Bathsheba,13.2167,-59.5167,88.41,62,40,24.16,BB,scattered clouds
131,Orastioara De Sus,45.7333,23.1667,46.6,68,19,3.74,RO,few clouds
132,Portland,45.5234,-122.6762,53.29,94,90,1.01,US,moderate rain
133,Klaksvik,62.2266,-6.589,50.92,97,100,29.01,FO,overcast clouds
134,Karratha,-20.7377,116.8463,80.58,44,79,10.63,AU,broken clouds
135,Sylvania,41.7189,-83.713,54.01,81,90,1.99,US,overcast clouds
136,Joshimath,30.5667,79.5667,53.24,67,5,6.29,IN,clear sky
137,Havre-Saint-Pierre,50.2334,-63.5986,46.67,81,100,7.65,CA,overcast clouds
138,Sabirabad,40.0095,48.4752,56.39,62,0,7.18,AZ,clear sky
139,Guanambi,-14.2233,-42.7814,85.78,49,100,7.05,BR,overcast clouds
140,Nikolskoye,59.7035,30.7861,37.87,91,100,9.04,RU,light rain
141,Srikakulam,18.3,83.9,78.84,66,37,4.27,IN,scattered clouds
142,Atuona,-9.8,-139.0333,77.99,77,18,18.19,PF,few clouds
143,Flin Flon,54.7682,-101.865,36.75,78,100,9.26,CA,overcast clouds
144,College,64.8569,-147.8028,27.59,90,40,0.0,US,scattered clouds
145,Evensk,61.95,159.2333,10.29,74,99,10.02,RU,overcast clouds
146,Bubaque,11.2833,-15.8333,84.25,65,81,6.8,GW,broken clouds
147,Port Elizabeth,-33.918,25.5701,62.1,70,3,23.69,ZA,clear sky
148,Dawlatabad,36.4141,64.9053,51.73,33,0,5.93,AF,clear sky
149,San Patricio,28.017,-97.5169,86.02,58,98,11.34,US,overcast clouds
150,Kathmandu,27.7167,85.3167,64.62,94,75,3.44,NP,broken clouds
151,Port Lincoln,-34.7333,135.8667,53.65,78,5,10.58,AU,clear sky
152,Roi Et,15.75,103.75,75.51,83,92,10.45,TH,overcast clouds
153,Forbes,-33.3833,148.0167,47.84,91,0,6.17,AU,clear sky
154,Hithadhoo,-0.6,73.0833,82.35,74,100,11.23,MV,overcast clouds
155,Chapais,49.7834,-74.8492,35.37,61,97,4.41,CA,overcast clouds
156,Churachandpur,24.3333,93.6667,61.12,91,61,1.28,IN,broken clouds
157,Changde,29.0464,111.6783,54.46,63,2,3.85,CN,light rain
158,Nemuro,43.3236,145.575,44.04,74,32,10.89,JP,scattered clouds
159,Awjilah,29.1081,21.2869,78.94,27,3,7.85,LY,clear sky
160,Jaranwala,31.3333,73.4333,67.39,77,3,9.75,PK,clear sky
161,Mecca,21.4267,39.8261,84.67,52,0,4.97,SA,clear sky
162,Sri Aman,1.2376,111.4621,72.86,99,100,0.54,MY,overcast clouds
163,Sibolga,1.7427,98.7792,77.83,89,95,2.44,ID,overcast clouds
164,Porto Novo,6.4965,2.6036,76.55,89,96,4.68,BJ,light rain
165,Mago,53.2514,140.1822,29.26,98,91,2.51,RU,overcast clouds
166,Sao Filipe,14.8961,-24.4956,80.69,65,0,4.54,CV,clear sky
167,Uribia,11.7139,-72.266,91.4,50,29,22.08,CO,scattered clouds
168,Xichang,27.8964,102.2634,55.51,86,58,2.44,CN,broken clouds
