,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
347,Atar,20.5169,-13.0499,94.8,9,3,4.32,MR,clear sky
348,Matara,5.9485,80.5353,78.64,81,11,8.08,LK,few clouds
349,Pyaozerskiy,65.8333,31.1667,25.84,88,100,3.91,RU,overcast clouds
350,Kumluca,36.3703,30.2869,69.62,61,0,3.62,TR,clear sky
351,Cap Malheureux,-19.9842,57.6142,75.47,73,3,5.01,MU,clear sky
352,Urgut,39.4022,67.2431,46.02,52,2,1.77,UZ,clear sky
353,Bulawayo,-20.15,28.5833,80.19,33,74,7.65,ZW,light rain
354,Kroonstad,-27.6504,27.2349,69.76,12,0,11.41,ZA,clear sky
355,Volovo,48.5246,23.5056,48.09,79,66,1.88,UA,broken clouds
356,Saint-Augustin,51.226,-58.6502,41.43,86,100,16.84,CA,overcast clouds
357,Marzuq,14.4,46.4667,77.02,22,14,3.62,YE,few clouds
358,Viedma,-40.8135,-62.9967,62.38,30,49,21.81,AR,scattered clouds
359,Sorong,-0.8833,131.25,79.02,83,42,7.31,ID,light rain
360,Los Llanos De Aridane,28.6585,-17.9182,67.12,81,75,4.0,ES,broken clouds
361,Tautira,-17.7333,-149.15,75.22,89,100,12.28,PF,light rain
362,Clifton,40.8584,-74.1638,59.81,63,90,1.99,US,overcast clouds
363,Cayenne,4.9333,-52.3333,82.09,85,75,7.0,GF,broken clouds
364,La Asuncion,11.0333,-63.8628,83.12,72,71,17.47,VE,broken clouds
365,Whitehorse,60.7161,-135.0538,35.31,74,99,15.99,CA,overcast clouds
366,Dukhovnitskoye,52.4828,48.2137,53.1,61,100,6.78,RU,light rain
367,Rio Gallegos,-51.6226,-69.2181,53.65,26,75,44.87,AR,broken clouds
368,Makakilo City,21.3469,-158.0858,75.52,72,1,5.75,US,clear sky
369,Alfred,42.2542,-77.7906,46.74,90,100,8.01,US,overcast clouds
370,Sola,-13.8833,167.55,81.0,76,19,15.93,VU,few clouds
371,Zheleznodorozhnyy,55.7503,38.0042,44.78,76,26,9.62,RU,light rain
372,Derzhavinsk,51.1,66.3167,51.24,75,29,18.84,KZ,scattered clouds
373,Longyearbyen,78.2186,15.6401,19.24,79,20,3.44,SJ,few clouds
374,Atherton,53.5237,-2.4935,54.28,74,90,5.99,GB,overcast clouds
375,Pandan,14.0453,124.1694,79.14,86,100,7.7,PH,overcast clouds
376,Nantucket,41.2835,-70.0995,63.25,79,49,11.3,US,scattered clouds
377,Paamiut,61.994,-49.6678,32.16,48,15,21.52,GL,few clouds
378,Armidale,-30.5167,151.65,53.01,95,0,6.24,AU,clear sky
379,Isangel,-19.55,169.2667,75.16,87,85,10.98,VU,overcast clouds
380,Nova Odesa,47.3078,31.7851,54.66,58,95,5.19,UA,overcast clouds
381,Enshi,30.3,109.4833,51.87,84,57,0.49,CN,broken clouds
382,Namwala,-15.7504,26.4384,85.69,29,35,1.54,ZM,scattered clouds
383,Katete,-0.7818,29.7544,64.53,91,75,5.48,UG,light rain
384,Maragogi,-9.0122,-35.2225,83.52,68,85,13.27,BR,overcast clouds
385,Parakou,9.3372,2.6303,77.56,78,93,4.14,BJ,overcast clouds
386,Katherine,-14.4667,132.2667,84.52,54,86,5.75,AU,overcast clouds
387,Henties Bay,-22.116,14.2845,62.85,78,0,15.55,NA,clear sky
388,Katangli,51.7102,143.2326,32.23,92,20,12.26,RU,few clouds
389,Kintampo,8.0563,-1.7306,78.58,83,70,4.88,GH,light rain
390,Korla,41.7597,86.1469,55.09,39,100,3.51,CN,overcast clouds
391,Hami,42.8,93.45,50.34,39,100,6.04,CN,overcast clouds
392,Takoradi,4.8845,-1.7554,79.05,81,94,8.03,GH,overcast clouds
393,Vanimo,-2.6741,141.3028,77.09,89,73,5.82,PG,broken clouds
394,Inta,66.0317,60.1659,26.31,92,100,14.7,RU,overcast clouds
395,Miles City,46.4083,-105.8406,52.52,81,90,14.97,US,overcast clouds
396,Hornepayne,49.2138,-84.7705,35.17,97,100,7.81,CA,light rain
397,Samarai,-10.6167,150.6667,80.37,83,98,12.28,PG,overcast clouds
398,Puerto Baquerizo Moreno,-0.9,-89.6,74.39,73,75,10.36,EC,broken clouds
399,Birjand,32.8663,59.2211,54.07,9,0,6.91,IR,clear sky
400,Kavaratti,10.5669,72.642,81.99,76,75,3.69,IN,broken clouds
401,North Bend,43.4065,-124.2243,54.91,97,90,0.0,US,mist
402,Pueblo Nuevo,23.3833,-105.3833,68.4,46,2,3.91,MX,clear sky
403,Meulaboh,4.1363,96.1285,77.14,89,93,3.09,ID,overcast clouds
404,Daru,-9.0763,143.2092,78.89,83,81,12.77,PG,broken clouds
405,Kalianget,-7.05,113.9333,83.08,72,99,5.14,ID,overcast clouds
406,Shingu,33.7333,135.9833,49.57,74,0,7.11,JP,clear sky
407,Brownsville,25.9018,-97.4975,86.92,73,75,5.99,US,broken clouds
408,Imbituba,-28.24,-48.6703,74.82,57,30,18.77,BR,scattered clouds
409,Port Hardy,50.6996,-127.4199,45.73,92,100,7.07,CA,light rain
410,Syracuse,37.0881,15.2792,75.25,88,95,6.89,IT,overcast clouds
411,Kirkuk,35.4681,44.3922,71.62,18,4,4.56,IQ,clear sky
412,Aasiaat,68.7098,-52.8699,18.97,93,100,5.39,GL,overcast clouds
413,Bereda,43.2686,-7.5406,62.58,73,100,2.26,ES,overcast clouds
414,Chuncheng,22.1731,111.7886,61.61,83,21,5.19,CN,few clouds
415,Manzhouli,49.6,117.4333,32.97,62,0,3.49,CN,clear sky
416,Banda Aceh,5.5577,95.3222,79.74,81,96,2.82,ID,overcast clouds
417,Pangai,-19.8,-174.35,74.08,64,100,16.28,TO,overcast clouds
418,Cangucu,-31.395,-52.6756,58.44,93,100,5.08,BR,moderate rain
419,Teguise,29.0605,-13.564,71.82,57,40,18.41,ES,scattered clouds
420,Atocha,-20.9333,-66.2333,64.71,7,42,29.15,BO,scattered clouds
421,Zuienkerke,51.2525,3.1361,56.01,80,20,2.3,BE,few clouds
422,Atikokan,48.7555,-91.6216,38.12,69,99,5.79,CA,overcast clouds
423,Las Tunas,20.9617,-76.9511,89.73,54,84,1.66,CU,broken clouds
424,Cockburn Town,21.4612,-71.1419,83.28,66,33,18.07,TC,scattered clouds
425,Ngunguru,-35.6167,174.5,62.17,97,100,18.75,NZ,overcast clouds
426,Comodoro Rivadavia,-45.8667,-67.5,64.26,13,20,21.85,AR,few clouds
427,Santa Lucia,27.9117,-15.5407,66.76,60,40,19.57,ES,scattered clouds
428,Nova Olinda Do Norte,-3.8881,-59.0942,95.31,41,95,3.94,BR,light rain
429,Gravdal,68.1214,13.5031,40.12,54,69,9.22,NO,broken clouds
430,Ormara,25.2088,64.6357,81.99,28,0,12.57,PK,clear sky
431,Wajima,37.4,136.9,57.4,55,99,4.9,JP,overcast clouds
432,Heze,35.2431,115.4411,53.64,56,94,3.2,CN,light rain
433,Olesnica,51.2134,17.3899,44.28,73,37,10.04,PL,scattered clouds
434,Vila Franca Do Campo,37.7167,-25.4333,72.01,73,53,6.24,PT,broken clouds
435,Murgab,37.4966,61.9714,53.47,47,0,9.22,TM,clear sky
436,Aripuana,-9.1667,-60.6333,99.73,30,67,4.79,BR,broken clouds
437,Calvinia,-31.4707,19.776,51.21,65,57,13.24,ZA,broken clouds
438,Mwene-Ditu,-7.0,23.45,75.31,61,81,1.97,CD,broken clouds
439,Rieti,42.4072,12.8592,63.52,85,96,3.89,IT,overcast clouds
440,Bangolo,7.0069,-7.475,78.55,86,100,2.84,CI,light rain
441,Srandakan,-7.9386,110.2506,77.97,86,100,4.54,ID,overcast clouds
442,Coihaique,-45.5752,-72.0662,52.41,40,40,16.11,CL,scattered clouds
443,San Jose Del Guaviare,2.5729,-72.6459,83.52,79,19,5.35,CO,few clouds
444,Umm Kaddadah,13.6017,26.6876,91.69,15,15,15.75,SD,few clouds
445,Taoudenni,22.6783,-3.9836,92.68,15,0,3.87,ML,clear sky
446,Nurota,40.5614,65.6886,53.69,39,3,9.01,UZ,clear sky
447,Grootfontein,-19.5667,18.1167,83.16,14,3,10.63,NA,clear sky
448,Avera,33.194,-82.5271,72.28,45,0,5.77,US,clear sky
449,Mingaora,34.7758,72.3625,56.57,62,0,3.8,PK,clear sky
450,Zeya,53.75,127.2667,35.49,72,8,2.26,RU,clear sky
451,Mabaruma,8.2,-59.7833,78.58,95,96,6.04,GY,overcast clouds
452,Wilmington,34.2257,-77.9447,76.86,67,1,5.75,US,clear sky
453,Rafaela,-31.2503,-61.4867,74.05,52,91,10.0,AR,overcast clouds
454,Alexandria,31.2156,29.9553,71.64,58,0,8.39,EG,clear sky
455,Vila Velha,-20.3297,-40.2925,78.75,73,40,14.97,BR,scattered clouds
456,Oistins,13.0667,-59.5333,87.89,62,40,24.16,BB,scattered clouds
457,Upata,8.0086,-62.3989,81.97,68,86,7.23,VE,overcast clouds
458,Kutum,14.2,24.6667,83.12,21,10,10.22,SD,clear sky
459,Dumas,35.8656,-101.9732,79.66,33,1,16.11,US,clear sky
460,Amalapuram,16.5833,82.0167,76.01,92,73,2.98,IN,heavy intensity rain
461,Patacamaya,-17.2333,-67.9167,67.44,11,2,12.77,BO,clear sky
462,Soligalich,59.0778,42.2864,40.64,90,100,6.29,RU,overcast clouds
463,Gimli,50.6336,-96.9907,41.43,72,73,7.14,CA,broken clouds
464,Lukulu,-14.3707,23.242,82.08,36,76,3.98,ZM,broken clouds
465,Teguldet,57.3064,88.1667,36.19,96,100,16.2,RU,light rain
466,Tevaitoa,-16.7833,-151.5,77.23,75,100,2.21,PF,overcast clouds
467,Camopi,3.1655,-52.3158,83.28,77,100,3.74,GF,overcast clouds
468,Labrea,-7.2586,-64.7981,99.23,33,32,5.1,BR,scattered clouds
469,Ampanihy,-24.7,44.75,74.34,60,3,6.87,MG,clear sky
470,Dillon,34.4166,-79.3712,76.03,39,0,6.91,US,clear sky
471,Honningsvag,70.9821,25.9704,38.43,56,99,21.27,NO,overcast clouds
472,San Quintin,30.4833,-115.95,66.65,72,42,14.79,MX,scattered clouds
473,Tommot,58.9564,126.2925,32.99,93,82,2.84,RU,broken clouds
474,Zhanakorgan,43.9098,67.2495,49.89,36,17,7.07,KZ,few clouds
475,Sur,22.5667,59.5289,82.11,59,0,1.7,OM,clear sky
476,Seoul,37.5683,126.9778,45.84,93,0,3.44,KR,clear sky
477,Bagdarin,54.4333,113.6,30.6,65,76,1.99,RU,broken clouds
478,Mackay,-21.15,149.2,76.05,82,15,11.16,AU,few clouds
479,Wewak,-3.5534,143.6268,79.2,85,28,7.54,PG,scattered clouds
480,Azle,32.8951,-97.5459,82.83,59,40,4.0,US,scattered clouds
481,Oswego,43.4501,-76.1497,52.92,70,87,4.0,US,overcast clouds
482,Naze,28.3667,129.4833,67.96,73,83,18.21,JP,broken clouds
483,Dunda,-8.1167,34.25,82.89,26,28,7.09,TZ,scattered clouds
484,Ushibuka,32.1906,130.0228,60.85,63,19,8.46,JP,few clouds
485,Nola,40.922,14.5329,69.15,78,99,3.71,IT,overcast clouds
486,Sumbe,-11.2061,13.8437,76.82,71,43,7.61,AO,light rain
487,Ikongo,-21.8833,47.4333,72.84,90,52,3.53,MG,broken clouds
488,Tezu,27.9167,96.1667,70.68,75,14,3.56,IN,few clouds
489,Svobodnyy,51.4,128.1333,37.15,80,5,5.5,RU,clear sky
490,Qasigiannguit,68.8193,-51.1922,19.65,94,100,5.08,GL,light snow
491,Elliot,-31.3333,27.85,51.73,62,29,10.98,ZA,scattered clouds
492,Bukachacha,52.9833,116.9167,30.63,83,8,1.45,RU,clear sky
493,Mandan,46.8267,-100.8896,44.58,63,1,17.27,US,clear sky
494,Dharmavaram,14.4333,77.7167,74.68,90,100,6.2,IN,moderate rain
495,Buta,2.7858,24.73,75.79,80,59,2.19,CD,broken clouds
496,Karasjok,69.4719,25.5112,28.51,82,100,6.44,NO,overcast clouds
497,Kayes,14.0,-11.0,88.38,51,64,6.22,ML,broken clouds
498,Leshukonskoye,64.8989,45.7622,22.8,94,19,4.76,RU,few clouds
499,Vilyuysk,63.7553,121.6247,35.08,98,100,9.82,RU,overcast clouds
500,Garh Maharaja,30.8339,71.9053,68.79,75,0,12.35,PK,clear sky
501,Fort Nelson,58.8053,-122.7002,37.71,69,20,2.01,CA,few clouds
502,Alekseyevsk,57.8406,108.3492,34.68,93,99,7.99,RU,overcast clouds
503,Blagoyevo,63.3667,47.9167,24.73,96,26,3.76,RU,scattered clouds
504,Saint-Pierre,-21.3393,55.4781,76.68,81,73,2.3,RE,broken clouds
505,Solnechnyy,50.7214,136.6319,32.99,85,1,4.07,RU,clear sky
506,Luneville,48.6,6.5,49.32,82,12,6.8,FR,few clouds
507,Kongoussi,13.3258,-1.5347,87.17,43,57,13.29,BF,broken clouds
508,Bahile,9.9995,118.7878,74.79,95,100,4.85,PH,heavy intensity rain
509,Xilitla,21.3333,-98.9667,79.74,61,100,3.38,MX,overcast clouds
510,Prince Rupert,54.3161,-130.3201,43.52,90,100,10.29,CA,light rain
511,Estelle,29.8458,-90.1067,84.99,65,75,10.36,US,broken clouds
512,Sarkand,45.41,79.9186,38.93,45,7,4.09,KZ,clear sky
513,Kasempa,-13.4584,25.8338,77.38,42,51,2.35,ZM,broken clouds
514,Taoru,28.2167,76.95,74.86,56,0,6.78,IN,clear sky
515,Ugoofaaru,5.6667,73.0,81.75,77,24,15.68,MV,few clouds
516,Pitimbu,-7.4706,-34.8086,86.59,71,54,12.41,BR,broken clouds
517,Robe,-37.1833,139.75,52.99,81,8,15.28,AU,clear sky
518,Lulea,65.5842,22.1547,19.47,100,0,1.14,SE,clear sky
519,Camden,39.7835,-74.9663,63.66,68,92,1.01,US,overcast clouds
520,Buala,-8.145,159.5921,79.54,76,33,7.11,SB,scattered clouds
521,Garowe,8.4054,48.4845,85.24,32,4,6.73,SO,clear sky
522,Denpasar,-8.65,115.2167,80.26,83,40,2.3,ID,scattered clouds
523,Pierre,44.3683,-100.351,49.05,63,1,8.01,US,clear sky
524,Moose Factory,51.2585,-80.6094,39.18,100,90,11.5,CA,mist
525,Gondar,12.6,37.4667,61.07,69,96,3.0,ET,overcast clouds
526,Ibra,22.6906,58.5334,79.52,52,27,11.07,OM,scattered clouds
527,Saint-Francois,46.4154,3.9054,49.44,68,0,3.44,FR,clear sky
528,Aksu,41.1231,80.2644,50.88,59,87,5.28,CN,overcast clouds
529,Westport,41.1415,-73.3579,59.05,64,90,5.99,US,overcast clouds
530,Bapatla,15.9,80.4667,79.77,68,78,2.93,IN,broken clouds
531,Kurilsk,45.2333,147.8833,44.33,66,84,13.42,RU,broken clouds
532,Guaruja,-23.9931,-46.2564,96.87,26,1,1.01,BR,clear sky
533,Waw,7.7029,27.9953,77.7,72,96,3.83,SS,light rain
534,Nome,64.5011,-165.4064,30.27,74,90,8.05,US,overcast clouds
535,Vestmannaeyjar,63.4427,-20.2734,47.39,87,75,9.22,IS,broken clouds
536,Batticaloa,7.7102,81.6924,80.08,78,66,3.96,LK,broken clouds
537,Tuy Hoa,13.0833,109.3,75.78,96,100,8.23,VN,overcast clouds
538,Kyshtovka,56.555,76.6271,46.27,84,100,15.08,RU,overcast clouds
539,Namibe,-15.1961,12.1522,69.04,64,45,15.37,AO,scattered clouds
540,Bandipur,27.9333,84.4167,59.52,94,1,1.74,NP,clear sky
541,Outjo,-20.1167,16.15,77.02,7,0,16.02,NA,clear sky
542,Jalu,29.0331,21.5482,78.48,28,1,8.52,LY,clear sky
543,Santa Maria,-29.6842,-53.8069,66.43,95,100,6.6,BR,light rain
544,Zhoucheng,35.9122,116.3117,52.54,57,97,2.66,CN,overcast clouds
545,Darnah,32.767,22.6367,72.75,55,0,1.12,LY,clear sky
546,Kholtoson,50.2981,103.3097,33.01,54,100,1.9,RU,overcast clouds
547,Chicama,-7.8447,-79.1469,73.62,62,58,10.36,PE,broken clouds
548,Noumea,-22.2763,166.4572,67.98,84,79,9.66,NC,broken clouds
549,Aleppo,36.25,37.5,69.19,30,0,11.63,SY,clear sky
550,Dalvik,65.9702,-18.5286,42.33,98,100,4.52,IS,overcast clouds
551,Kpandae,8.4689,-0.0113,82.31,73,88,7.18,GH,overcast clouds
552,Atasu,48.6814,71.6433,42.89,49,5,14.09,KZ,clear sky
553,Ballina,-28.8667,153.5667,71.78,94,5,7.99,AU,clear sky
554,Ourem,39.6417,-8.5919,72.61,60,99,2.98,PT,overcast clouds
555,Gat,31.61,34.7642,74.08,100,0,8.1,IL,clear sky
556,Iskateley,67.6803,53.1512,27.55,83,34,12.5,RU,scattered clouds
557,Port Augusta,-32.5,137.7667,55.54,71,1,10.67,AU,clear sky
558,Tazovskiy,67.4667,78.7,27.91,97,97,10.65,RU,overcast clouds
559,Preobrazheniye,42.9019,133.9064,45.21,61,2,8.88,RU,clear sky
560,Mataram,-8.5833,116.1167,76.01,74,75,4.54,ID,broken clouds
561,Praia Da Vitoria,38.7333,-27.0667,68.34,75,6,13.29,PT,clear sky
562,Grajau,-5.8194,-46.1386,87.22,60,99,1.45,BR,overcast clouds
563,Margate,51.3813,1.3862,55.11,71,69,12.03,GB,broken clouds
564,Felipe Carrillo Puerto,19.5833,-88.05,90.37,50,87,3.8,MX,overcast clouds
565,Hollola,61.05,25.4333,31.01,81,100,8.57,FI,overcast clouds
566,De-Kastri,51.4667,140.7833,32.31,88,7,5.61,RU,clear sky
567,Khlung,12.4547,102.2214,83.1,100,95,6.42,TH,overcast clouds
568,Chowchilla,37.123,-120.2602,67.91,72,1,8.05,US,clear sky
569,Igarka,67.4667,86.5833,29.55,96,99,11.48,RU,light snow
